Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2944,6.0,6,,,,,,
,,,,,2950,6.0,6,,,,,,
,,,,,2954,4.0,4,,,,,,
,,,,,2959,5.0,5,,,,,,
,,,,,2966,7.0,7,,,,,,
,,,,,2972,6.0,6,,,,,,
,,,,,2977,5.0,5,,,,,,
,,,,,2980,3.0,3,,,,,,
,,,,,2984,4.0,4,,,,,,
,,,,,2993,9.0,9,,,,,,
,,,,,2996,3.0,3,,,,,,
,,,,,3008,12.0,12,,,,,,
,,,,,3020,12.0,12,,,,,,
,,,,,3024,4.0,4,,,,,,
,,,,,3030,6.0,6,,,,,,
,,,,,3035,5.0,5,,,,,,
,,,,,3043,8.0,8,,,,,,
,,,,,3055,12.0,12,,,,,,
,,,,,3065,10.0,10,,,,,,
,,,,,3087,22.0,22,,,,,,
,,,,,3094,7.0,7,,,,,,
,,,,,3100,6.0,6,,,,,,
,,,,,3104,4.0,4,,,,,,
,,,,,3107,3.0,3,,,,,,
,,,,,3114,7.0,7,,,,,,
,,,,,3117,3.0,3,,,,,,
,,,,,3124,7.0,7,,,,,,
,,,,,3132,8.0,8,,,,,,
,,,,,3135,3.0,3,,,,,,
,,,,,3141,6.0,6,,,,,,
,,,,,3147,6.0,6,,,,,,
,,,,,3152,5.0,5,,,,,,
,,,,,3156,4.0,4,,,,,,
,,,,,3162,6.0,6,,,,,,
,,,,,3179,17.0,17,,,,,,
,,,,,3185,6.0,6,,,,,,
,,,,,3190,5.0,5,,,,,,
,,,,,3195,5.0,5,,,,,,
,,,,,3198,3.0,3,,,,,,
,,,,,3203,5.0,5,,,,,,
,,,,,3213,10.0,10,,,,,,
,,,,,3216,3.0,3,,,,,,
,,,,,3223,7.0,7,,,,,,
,,,,,3228,5.0,5,,,,,,
,,,,,3232,4.0,4,,,,,,
,,,,,3236,4.0,4,,,,,,
,,,,,3240,4.0,4,,,,,,
,,,,,3246,6.0,6,,,,,,
,,,,,3260,14.0,14,,,,,,
,,,,,3267,7.0,7,,,,,,
,,,,,3271,4.0,4,,,,,,
,,,,,3274,3.0,3,,,,,,
,,,,,3284,10.0,10,,,,,,
,,,,,3294,10.0,10,,,,,,
,,,,,3298,4.0,4,,,,,,
,,,,,3309,11.0,11,,,,,,
,,,,,3313,4.0,4,,,,,,
,,,,,3322,9.0,9,,,,,,
,,,,,3328,6.0,6,,,,,,
,,,,,3331,3.0,3,,,,,,
,,,,,3338,7.0,7,,,,,,
,,,,,3342,4.0,4,,,,,,
,,,,,3346,4.0,4,,,,,,
,,,,,3350,4.0,4,,,,,,
,,,,,3358,8.0,8,,,,,,
,,,,,3364,6.0,6,,,,,,
,,,,,3368,4.0,4,,,,,,
,,,,,3372,4.0,4,,,,,,
,,,,,3384,12.0,12,,,,,,
,,,,,3392,8.0,8,,,,,,
,,,,,3401,9.0,9,,,,,,
,,,,,3423,22.0,22,,,,,,
,,,,,3436,13.0,13,,,,,,
,,,,,3446,10.0,10,,,,,,
,,,,,3450,4.0,4,,,,,,
,,,,,3460,10.0,10,,,,,,
,,,,,3463,3.0,3,,,,,,
,,,,,3466,3.0,3,,,,,,
,,,,,3480,14.0,14,,,,,,
,,,,,3490,10.0,10,,,,,,
,,,,,3502,12.0,12,,,,,,
,,,,,3507,5.0,5,,,,,,
,,,,,3513,6.0,6,,,,,,
,,,,,3516,3.0,3,,,,,,
,,,,,3521,5.0,5,,,,,,
,,,,,3530,9.0,9,,,,,,
,,,,,3538,8.0,8,,,,,,
,,,,,3542,4.0,4,,,,,,
,,,,,3551,9.0,9,,,,,,
,,,,,3574,23.0,23,,,,,,
,,,,,3579,5.0,5,,,,,,
,,,,,3582,3.0,3,,,,,,
,,,,,3597,15.0,15,,,,,,
,,,,,3600,3.0,3,,,,,,
,,,,,3608,8.0,8,,,,,,
,,,,,3619,11.0,11,,,,,,
,,,,,3623,4.0,4,,,,,,
,,,,,3628,5.0,5,,,,,,
,,,,,3631,3.0,3,,,,,,
,,,,,3638,7.0,7,,,,,,
,,,,,3645,7.0,7,,,,,,
,,,,,3654,9.0,9,,,,,,
,,,,,3660,6.0,6,,,,,,
,,,,,3664,4.0,4,,,,,,
,,,,,3668,4.0,4,,,,,,
,,,,,3674,6.0,6,,,,,,
,,,,,3680,6.0,6,,,,,,
,,,,,3683,3.0,3,,,,,,
,,,,,3688,5.0,5,,,,,,
,,,,,3696,8.0,8,,,,,,
,,,,,3701,5.0,5,,,,,,
,,,,,3706,5.0,5,,,,,,
,,,,,3714,8.0,8,,,,,,
,,,,,3721,7.0,7,,,,,,
,,,,,3730,9.0,9,,,,,,
,,,,,3737,7.0,7,,,,,,
,,,,,3741,4.0,4,,,,,,
,,,,,3745,4.0,4,,,,,,
,,,,,3748,3.0,3,,,,,,
,,,,,3752,4.0,4,,,,,,
,,,,,3760,8.0,8,,,,,,
,,,,,3763,3.0,3,,,,,,
,,,,,3776,13.0,13,,,,,,
,,,,,3780,4.0,4,,,,,,
,,,,,3794,14.0,14,,,,,,
,,,,,3800,6.0,6,,,,,,
,,,,,3810,10.0,10,,,,,,
,,,,,3816,6.0,6,,,,,,
,,,,,3821,5.0,5,,,,,,
,,,,,3827,6.0,6,,,,,,
,,,,,3838,11.0,11,,,,,,
,,,,,3845,7.0,7,,,,,,
,,,,,3851,6.0,6,,,,,,
,,,,,3854,3.0,3,,,,,,
,,,,,3865,11.0,11,,,,,,
