Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
207.90376,7.7339387,219.54501,193.51224,99.4,15000,,,-45.48103713989258,-1.542399525642395,18.896827697753906,42.53412628173828,42.714290618896484,0.0003,0.0003,0.1
,,,,,15008,216.8483,97,,,,,,,,
,,,,,15118,246.97505,110,,,,,,,,
,,,,,15225,223.63441,107,,,,,,,,
,,,,,15330,219.35344,105,,,,,,,,
,,,,,15435,215.05783,105,,,,,,,,
,,,,,15532,215.68442,97,,,,,,,,
,,,,,15625,205.85481,93,,,,,,,,
,,,,,15719,210.97813,94,,,,,,,,
,,,,,15818,222.2507,99,,,,,,,,
,,,,,15906,195.61397,88,,,,,,,,
,,,,,15996,195.11041,90,,,,,,,,
,,,,,16000,,,-54.29773712158203,-1.3933830261230469,7.099198818206787,52.7011833190918,52.537689208984375,0.0003,0.0003,0.1
,,,,,16097,227.24844,101,,,,,,,,
,,,,,16192,209.25763,95,,,,,,,,
,,,,,16300,250.80151,108,,,,,,,,
,,,,,16397,228.87347,97,,,,,,,,
,,,,,16501,231.47598,104,,,,,,,,
,,,,,16625,294.90802,124,,,,,,,,
,,,,,16714,205.54762,89,,,,,,,,
,,,,,16818,251.9418,104,,,,,,,,
,,,,,16924,247.2833,106,,,,,,,,
,,,,,17000,,,-62.643672943115234,-1.3055142164230347,6.715354919433594,60.108421325683594,60.626678466796875,0.0003,0.0003,0.1
,,,,,17039,293.22342,115,,,,,,,,
,,,,,17145,248.77913,106,,,,,,,,
,,,,,17258,281.02023,113,,,,,,,,
,,,,,17361,245.67282,103,,,,,,,,
,,,,,17463,241.93733,102,,,,,,,,
,,,,,17581,273.79773,118,,,,,,,,
,,,,,17689,275.65652,108,,,,,,,,
,,,,,17799,267.98276,110,,,,,,,,
,,,,,17896,227.42336,97,,,,,,,,
,,,,,18000,,,-70.17422485351562,-1.013063907623291,8.309200286865234,67.47783660888672,67.6409912109375,0.0003,0.0003,0.1
,,,,,18004,266.31625,108,,,,,,,,
,,,,,18114,271.62994,110,,,,,,,,
,,,,,18221,239.00922,107,,,,,,,,
,,,,,18330,277.336,109,,,,,,,,
,,,,,18436,240.33156,106,,,,,,,,
,,,,,18534,233.95787,98,,,,,,,,
,,,,,18552,18.618977,18,,,,,,,,
,,,,,18662,270.28143,110,,,,,,,,
,,,,,18778,301.42325,116,,,,,,,,
,,,,,18793,13.828381,15,,,,,,,,
,,,,,18912,288.27438,119,,,,,,,,
,,,,,18953,68.90992,41,,,,,,,,
,,,,,19000,,,-77.32803344726562,-1.1352312564849854,15.072425842285156,75.25093078613281,75.3279037475586,0.0003,0.0003,0.1
,,,,,19083,277.4481,130,,,,,,,,
,,,,,19097,11.7194195,14,,,,,,,,
,,,,,19195,246.6462,98,,,,,,,,
,,,,,19325,294.44135,130,,,,,,,,
,,,,,19437,278.68332,112,,,,,,,,
,,,,,19546,284.4304,109,,,,,,,,
,,,,,19662,286.31,116,,,,,,,,
