Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,5182,13.0,13,,,,,,
,,,,,5193,11.0,11,,,,,,
,,,,,5205,12.0,12,,,,,,
,,,,,5219,14.0,14,,,,,,
,,,,,5230,11.0,11,,,,,,
,,,,,5240,10.0,10,,,,,,
,,,,,5248,8.0,8,,,,,,
,,,,,5259,11.0,11,,,,,,
,,,,,5270,11.0,11,,,,,,
,,,,,5285,15.0,15,,,,,,
,,,,,5300,15.0,15,,,,,,
,,,,,5311,11.0,11,,,,,,
,,,,,5322,11.0,11,,,,,,
,,,,,5334,12.0,12,,,,,,
,,,,,5351,17.0,17,,,,,,
,,,,,5363,12.0,12,,,,,,
,,,,,5373,10.0,10,,,,,,
,,,,,5384,11.0,11,,,,,,
,,,,,5394,10.0,10,,,,,,
,,,,,5407,13.0,13,,,,,,
,,,,,5419,12.0,12,,,,,,
,,,,,5430,11.0,11,,,,,,
,,,,,5442,12.0,12,,,,,,
,,,,,5454,12.0,12,,,,,,
,,,,,5463,9.0,9,,,,,,
,,,,,5477,14.0,14,,,,,,
,,,,,5488,11.0,11,,,,,,
,,,,,5498,10.0,10,,,,,,
,,,,,5510,12.0,12,,,,,,
,,,,,5518,8.0,8,,,,,,
,,,,,5528,10.0,10,,,,,,
,,,,,5543,15.0,15,,,,,,
,,,,,5554,11.0,11,,,,,,
,,,,,5563,9.0,9,,,,,,
,,,,,5577,14.0,14,,,,,,
,,,,,5592,15.0,15,,,,,,
,,,,,5606,14.0,14,,,,,,
,,,,,5617,11.0,11,,,,,,
,,,,,5627,10.0,10,,,,,,
,,,,,5646,19.0,19,,,,,,
,,,,,5656,10.0,10,,,,,,
,,,,,5666,10.0,10,,,,,,
,,,,,5677,11.0,11,,,,,,
,,,,,5688,11.0,11,,,,,,
,,,,,5699,11.0,11,,,,,,
,,,,,5711,12.0,12,,,,,,
,,,,,5723,12.0,12,,,,,,
,,,,,5737,14.0,14,,,,,,
,,,,,5746,9.0,9,,,,,,
,,,,,5754,8.0,8,,,,,,
,,,,,5764,10.0,10,,,,,,
,,,,,5774,10.0,10,,,,,,
,,,,,5783,9.0,9,,,,,,
,,,,,5794,11.0,11,,,,,,
,,,,,5804,10.0,10,,,,,,
,,,,,5813,9.0,9,,,,,,
,,,,,5826,13.0,13,,,,,,
,,,,,5837,11.0,11,,,,,,
,,,,,5847,10.0,10,,,,,,
,,,,,5860,13.0,13,,,,,,
,,,,,5868,8.0,8,,,,,,
,,,,,5880,12.0,12,,,,,,
,,,,,5890,10.0,10,,,,,,
,,,,,5899,9.0,9,,,,,,
,,,,,5911,12.0,12,,,,,,
,,,,,5923,12.0,12,,,,,,
,,,,,5936,13.0,13,,,,,,
,,,,,5946,10.0,10,,,,,,
,,,,,5955,9.0,9,,,,,,
